"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-02","0.00","94","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-03","0.00","93","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-04","0.00","90","53"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-05","0.00","88","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-06","0.00","87","47"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-07","0.00","89","46"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-08","0.00","88","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-09","0.00","90","49"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-10","0.00","74","35"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-11","0.00","73","27"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-12","0.00","71","29"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-13","0.04","70","38"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-14","0.01","71","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-15","0.00","73","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-16","0.00","75","39"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-17","0.00","81","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-18","0.00","77","46"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-19","0.00","79","56"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-20","0.00","88","56"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-21","0.00","92","53"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-22","0.00","93","53"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-23","0.00","93","47"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-24","0.00","93","43"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-25","0.00","90","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-26","0.00","89","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-27","0.00","88","45"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-28","0.00","90","42"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-29","0.00","83","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-11-30","0.00","73","40"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-01","0.00","75","50"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-02","0.00","75","46"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-03","0.00","70","39"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-04","0.00","77","44"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-05","0.00","76","48"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-06","0.00","75","41"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-12-07","0.00","72","40"
